society_name,price,location,area
The Riseonic,₹1.25 Cr ,"3 BHK Apartment for Sale in The Riseonic, Gota Ahmedabad",Carpet Area1095 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyThe RiseonicBathroom3Balcony3
Saiyamm Apricus 2,₹2.60 Cr ,"4 BHK Apartment for Sale in Saiyamm Apricus 2, Shilaj Ahmedabad",Carpet Area2200 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietySaiyamm Apricus 2Bathroom4Balcony2
Aristo The Opus And Aatmantan,₹2.89 Cr ,"4 BHK Apartment for Sale in Aristo The Opus And Aatmantan, Gota Ahmedabad",Super Area4455 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyAristo The Opus And AatmantanBathroom4Balcony1
Safal Niwa,₹1.50 Cr ,"4 BHK Apartment for Sale in Safal Niwa, Shela Ahmedabad",Carpet Area1452 sqftTransactionNew PropertyFurnishingUnfurnishedSocietySafal NiwaBathroom4Balcony1
Sheladia Artefino,₹2.80 Cr ,"4 BHK Apartment for Sale in Sheladia Artefino, Thaltej Ahmedabad",Carpet Area2200 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySheladia ArtefinoBathroom4Balcony1
Sharanya Altura,₹86.1 Lac ,"3 BHK Apartment for Sale in Sharanya Altura, Shilaj Ahmedabad",Carpet Area968 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySharanya AlturaBathroom3Balcony1
Times Trinity,₹5.75 Cr ,"5 BHK Penthouse for Sale in Times Trinity, Thaltej Ahmedabad",Carpet Area4221 sqftUnder ConstructionPoss. by Dec '30TransactionNew PropertyFurnishingUnfurnishedSocietyTimes TrinityCar Parking1 OpenBathroom5Balcony1
kanjur Vinayak Apartment,₹1.45 Cr ,2 BHK Ready to Occupy Flat for sale  in kanjur Vinayak Apartment  Bhandup East,Carpet Area580 sqftStatusReady to MoveFloor2 out of 8TransactionResaleFurnishingSemi-FurnishedfacingWestSocietykanjur Vinayak ApartmentOwnershipFreeholdCar Parking1 CoveredBathroom2
,₹1.10 Cr ,1 BHK Ready to Occupy Flat for sale  Jankalyan Nagar,Carpet Area455 sqftStatusReady to MoveFloor7 out of 19TransactionNew PropertyFurnishingFurnishedfacingEastoverlookingMain RoadOwnershipFreeholdBathroom2
Tista Arpit,₹85 Lac ,1 BHK Ready to Occupy Flat for sale  in Tista Arpit  Andheri East,Carpet Area354 sqftStatusReady to MoveFloor8 out of 8TransactionResaleFurnishingUnfurnishedSocietyTista ArpitBathroom1
Rachna Garden,₹2.25 Cr ,3 BHK Ready to Occupy Flat for sale  in Rachna Garden  Mulund West,Carpet Area870 sqftStatusReady to MoveFloor9 out of 17TransactionResaleFurnishingSemi-FurnishedSocietyRachna GardenBathroom3Balcony3
,₹2.10 Cr ,2 BHK Ready to Occupy Flat for sale  Borivali West,"Carpet Area657 sqftStatusReady to MoveFloor15 out of 15TransactionNew PropertyFurnishingUnfurnishedoverlookingMain Road, Garden/ParkBathroom2"
JP North Aviva,₹62 Lac ,1 BHK Ready to Occupy Flat for sale  in JP North Aviva  Mira Road East,"Carpet Area360 sqftStatusReady to MoveFloor16 out of 36TransactionResaleFurnishingSemi-FurnishedfacingSouthoverlookingPool, Garden/Park, Main RoadSocietyJP North AvivaOwnershipCo-operative SocietyBathroom2Balcony3"
Madhuban Township,₹70 Lac ,2 BHK Ready to Occupy Flat for sale  in Madhuban Township  Vasai East,Carpet Area785 sqftStatusReady to MoveFloor2 out of 5TransactionResaleFurnishingSemi-FurnishedSocietyMadhuban TownshipBathroom2Balcony2
Thakur Prasad Apartment,₹82 Lac ,1 BHK Ready to Occupy Flat for sale  in Thakur Prasad Apartment  Chunabhatti,Super Area360 sqftStatusReady to MoveFloor2 out of 6TransactionResaleFurnishingUnfurnishedSocietyThakur Prasad ApartmentBathroom1
