society_name,price,City,sqft,furnished_status,bhk
Gurgaon Luxury Floors,35000000.0,Gurgaon,2800,Unfurnished,4.0
DLF The Arbour,100100000.0,Gurgaon,3956,Unfurnished,4.0
Indiabulls Centrum Park,30100000.0,Gurgaon,2875,Unfurnished,4.0
Elan Imperial,38000000.0,Gurgaon,1200,Unfurnished,4.0
Max Estate 360,70500000.0,Gurgaon,1899,Unfurnished,4.0
Signature Global City 92,11000000.0,Gurgaon,1050,Unfurnished,2.0
Smartworld One DXP,44500000.0,Gurgaon,2585,Unfurnished,3.0
Signature Global Sarvam at DXP Estate,28500000.0,Delhi,1840,Unfurnished,3.0
Signature The Roselia,6000000.0,Gurgaon,569,Unfurnished,2.0
SRS Luxury Floors,62500000.0,Gurgaon,5200,Unfurnished,5.0
Signature Global Cloverdale SPR,51400000.0,Gurgaon,2780,Unfurnished,3.0
Central Park Flamingo Floors,24500000.0,Gurgaon,2559,Unfurnished,3.0
TARC Ishva,103100000.0,Gurgaon,2157,Unfurnished,4.0
DLF Regal Gardens,27400000.0,Gurgaon,2251,Unfurnished,3.0
Signature Global Daxin Vistas,19700000.0,Gurgaon,1550,Unfurnished,3.0
M3M Capital,27500000.0,Gurgaon,1695,Unfurnished,3.0
Ireo The Corridors,22000000.0,Gurgaon,1296,Unfurnished,2.0
DLF Garden City The Primus,43200000.0,Gurgaon,2695,Unfurnished,4.0
Alpha Gurgaon One,14000000.0,Gurgaon,1181,Unfurnished,2.0
Alpha Gurgaon One,13800000.0,Gurgaon,1010,Furnished,2.0
Alpha Gurgaon One,15200000.0,Gurgaon,1270,Furnished,2.0
Alpha Corp Gurgaon One ,55600000.0,Gurgaon,900,Furnished,2.0
Alpha Gurgaon One,24000000.0,Gurgaon,1826,Furnished,3.0
Alpha Corp Gurgaon One ,55000000.0,Gurgaon,2200,Furnished,3.0
Alpha Gurgaon One,18000000.0,Gurgaon,1270,Furnished,2.0
Alpha Corp Gurgaon One ,135000000.0,Gurgaon,4762,Unfurnished,4.0
Elan Miracle,37500000.0,Gurgaon,1500,Unfurnished,4.0
Elan Miracle,11500000.0,Gurgaon,400,Unfurnished,4.0
